Kelime,Türkçe Anlamý,V1 (Yalýn Hali),V2 (Geçmiþ Zaman),V3 (Sýfat Fiil)
"all right,""tamam, iyi"",-,-,-"
allow,izin vermek,allow,allowed,allowed
almost,neredeyse,-,-,-
alone,yalnýz,-,-,-
along,boyunca,-,-,-
already,zaten,-,-,-
also,ayrýca,-,-,-
alter,deðiþtirmek,alter,altered,altered
alternative,alternatif,-,-,-
although,-e raðmen,-,-,-
always,her zaman,-,-,-
amazed,hayrete düþmüþ,-,-,-
amazing,inanýlmaz,-,-,-
"ambition,""hýrs, hedef"",-,-,-"
ambitious,hýrslý,-,-,-
among,arasýnda,-,-,-
"amount,""miktar, tutmak (para)"",amount,amounted,amounted"
analyse,analiz etmek,analyse,analysed,analysed
analysis,analiz,-,-,-
ancient,antik,-,-,-
and,ve,-,-,-
anger,öfke,-,-,-
angle,açý,-,-,-
angry,kýzgýn,-,-,-
animal,hayvan,-,-,-
ankle,ayak bileði,-,-,-
anniversary,yýl dönümü,-,-,-
announce,duyurmak,announce,announced,announced
announcement,duyuru,-,-,-
annoy,sinir etmek,annoy,annoyed,annoyed
annoyed,sinirlenmiþ,-,-,-
annoying,sinir bozucu,-,-,-
annual,yýllýk,-,-,-
another,baþka bir,-,-,-
"answer,""cevap, cevaplamak"",answer,answered,answered"
anxious,kaygýlý,-,-,-
any,herhangi,-,-,-
any more,artýk,-,-,-
anybody,herhangi biri,-,-,-
anyone,herhangi biri,-,-,-
anything,herhangi bir þey,-,-,-
anyway,her neyse,-,-,-
anywhere,herhangi bir yer,-,-,-
apart,ayrý,-,-,-
apartment,daire,-,-,-
apologize,özür dilemek,apologize,apologized,apologized
app,uygulama,-,-,-
"apparent,""görünen, açýk"",-,-,-"
apparently,görünüþe göre,-,-,-
"appeal,""çekicilik, baþvurmak"",appeal,appealed,appealed"
appear,görünmek,appear,appeared,appeared
appearance,görünüþ,-,-,-
apple,elma,-,-,-
"application,""uygulama, baþvuru"",-,-,-"
"apply,""baþvurmak, uygulamak"",apply,applied,applied"
appointment,randevu,-,-,-
appreciate,takdir etmek,appreciate,appreciated,appreciated
"approach,""yaklaþým, yaklaþmak"",approach,approached,approached"
appropriate,uygun,-,-,-
approval,onay,-,-,-
approve,onaylamak,approve,approved,approved
approximately,yaklaþýk olarak,-,-,-
April,Nisan,-,-,-
architect,mimar,-,-,-
architecture,mimarlýk,-,-,-
"area,""alan, bölge"",-,-,-"
argue,tartýþmak,argue,argued,argued
argument,tartýþma,-,-,-
arise,ortaya çýkmak,arise,arose,arisen
arm,kol,-,-,-
armed,silahlý,-,-,-
arms,silahlar,-,-,-
army,ordu,-,-,-
"around,""etrafýnda, çevresinde"",-,-,-"
arrange,düzenlemek,arrange,arranged,arranged
arrangement,düzenleme,-,-,-
arrest,tutuklamak,arrest,arrested,arrested
arrival,varýþ,-,-,-
arrive,varmak,arrive,arrived,arrived
art,sanat,-,-,-
article,makale,-,-,-
artificial,yapay,-,-,-
artist,sanatçý,-,-,-
artistic,sanatsal,-,-,-
"as,""olarak, gibi"",-,-,-"
ashamed,utanmýþ,-,-,-
ask,sormak,ask,asked,asked
asleep,uykuda,-,-,-
"aspect,""yön, husus"",-,-,-"
assess,deðerlendirmek,assess,assessed,assessed
assessment,deðerlendirme,-,-,-
"assignment,""ödev, görev"",-,-,-"
assist,yardým etmek,assist,assisted,assisted
assistant,asistan,-,-,-
associate,iliþkilendirmek,associate,associated,associated
associated,iliþkili,-,-,-
"association,""dernek, iliþki"",-,-,-"
assume,varsaymak,assume,assumed,assumed
"at,""-de, -da"",-,-,-"
athlete,sporcu,-,-,-
atmosphere,atmosfer,-,-,-
"attach,""eklemek, iliþtirmek"",attach,attached,attached"
"attack,""saldýrmak, saldýrý"",attack,attacked,attacked"
"attempt,""denemek, giriþim"",attempt,attempted,attempted"
attend,katýlmak,attend,attended,attended
attention,dikkat,-,-,-
attitude,tutum,-,-,-
"attract,""çekmek, cezbetmek"",attract,attracted,attracted"
"attraction,""çekicilik, cazibe"",-,-,-"
attractive,çekici,-,-,-
audience,izleyici kitlesi,-,-,-
August,Aðustos,-,-,-
"aunt,""hala, teyze"",-,-,-"
author,yazar,-,-,-
"authority,""otorite, yetki"",-,-,-"
autumn,sonbahar,-,-,-
"available,""mevcut, uygun"",-,-,-"
average,ortalama,average,averaged,averaged
avoid,kaçýnmak,avoid,avoided,avoided
"award,""ödül, ödüllendirmek"",award,awarded,awarded"
aware,farkýnda,-,-,-
away,uzakta,-,-,-
awful,berbat,-,-,-
baby,bebek,-,-,-
"back,""arka, geri, sýrt"",back,backed,backed"
background,arka plan,-,-,-
backwards,geriye doðru,-,-,-
bacteria,bakteri,-,-,-
bad,kötü,-,-,-
badly,kötü bir þekilde,-,-,-
bag,çanta,-,-,-
bake,fýrýnda piþirmek,bake,baked,baked
"balance,""denge, dengelemek"",balance,balanced,balanced"
ball,top,-,-,-
"ban,""yasaklamak, yasak"",ban,banned,banned"
banana,muz,-,-,-
"band,""grup, bant"",-,-,-"
bank (money),banka,-,-,-
bank (river),nehir kýyýsý,-,-,-
"bar,""bar, çubuk"",bar,barred,barred"
barrier,engel,-,-,-
"base,""taban, dayandýrmak"",base,based,based"
baseball,beyzbol,-,-,-
based,dayalý,-,-,-
basic,temel,-,-,-
basically,temelde,-,-,-
"basis,""temel, esas"",-,-,-"
basketball,basketbol,-,-,-
bath,banyo,-,-,-
bathroom,banyo (oda),-,-,-
"battery,""pil, batarya"",-,-,-"
"battle,""savaþ, mücadele etmek"",battle,battled,battled"
be,olmak,be,was/were,been
beach,plaj,-,-,-
bean,fasulye,-,-,-
bear (animal),ayý,-,-,-
bear (deal with),katlanmak,bear,bore,borne
"beat,""yenmek, vurmak"",beat,beat,beaten"
beautiful,güzel,-,-,-
beauty,güzellik,-,-,-
because,çünkü,-,-,-
"become,""olmak, dönüþmek"",become,became,become"
bed,yatak,-,-,-
bedroom,yatak odasý,-,-,-
bee,arý,-,-,-
beef,sýðýr eti,-,-,-
beer,bira,-,-,-
before,önce,-,-,-
beg,yalvarmak,beg,begged,begged
begin,baþlamak,begin,began,begun
beginning,baþlangýç,-,-,-
behave,davranmak,behave,behaved,behaved
behaviour,davranýþ,-,-,-
behind,arkasýnda,-,-,-
"being,""varlýk, olma hali"",-,-,-"
belief,inanç,-,-,-
believe,inanmak,believe,believed,believed
bell,zil,-,-,-
belong,ait olmak,belong,belonged,belonged
below,aþaðýda,-,-,-
belt,kemer,-,-,-
"bend,""bükmek, viraj"",bend,bent,bent"
"benefit,""fayda, yararlanmak"",benefit,benefited,benefited"
bent,eðik,-,-,-
best,en iyi,-,-,-
"bet,""bahis, bahse girmek"",bet,bet,bet"
better,daha iyi,-,-,-
between,arasýnda,-,-,-
beyond,ötesinde,-,-,-
bicycle,bisiklet,-,-,-
big,büyük,-,-,-
bike,bisiklet,-,-,-
bill,fatura,bill,billed,billed
billion,milyar,-,-,-
bin,çöp kutusu,-,-,-
biology,biyoloji,-,-,-
bird,kuþ,-,-,-
birth,doðum,-,-,-
birthday,doðum günü,-,-,-
biscuit,bisküvi,-,-,-
"bit,""biraz, parça"",-,-,-"
bite,ýsýrmak,bite,bit,bitten
bitter,acý,-,-,-
black,siyah,-,-,-
blame,suçlamak,blame,blamed,blamed
blank,boþ,-,-,-
blind,kör,-,-,-
"block,""blok, engellemek"",block,blocked,blocked"
blog,blog,-,-,-
blonde,sarýþýn,-,-,-
blood,kan,-,-,-
"blow,""üflemek, esmek"",blow,blew,blown"
blue,mavi,-,-,-
"board,""tahta, kurul"",board,boarded,boarded"
boat,tekne,-,-,-
body,vücut,-,-,-
boil,kaynatmak,boil,boiled,boiled
bomb,bomba,bomb,bombed,bombed
"bond,""bað, tahvil"",-,-,-"
bone,kemik,-,-,-
"book,""kitap, rezervasyon yapmak"",book,booked,booked"
"boot,""bot, çizme"",-,-,-"
border,sýnýr,border,bordered,bordered
bored,sýkýlmýþ,-,-,-
boring,sýkýcý,-,-,-
born,doðmuþ,-,-,-
borrow,ödünç almak,borrow,borrowed,borrowed
boss,patron,-,-,-
both,her ikisi,-,-,-
bother,rahatsýz etmek,bother,bothered,bothered
bottle,þiþe,-,-,-
"bottom,""alt, dip"",-,-,-"
bowl,kase,-,-,-
box,kutu,-,-,-
boy,erkek çocuk,-,-,-
boyfriend,erkek arkadaþ,-,-,-
brain,beyin,-,-,-
"branch,""dal, þube"",-,-,-"
brand,marka,-,-,-
brave,cesur,-,-,-
bread,ekmek,-,-,-
"break,""kýrmak, mola"",break,broke,broken"
breakfast,kahvaltý,-,-,-
breast,göðüs,-,-,-
breath,nefes,-,-,-
breathe,nefes almak,breathe,breathed,breathed
breathing,nefes alma,-,-,-
bride,gelin,-,-,-
bridge,köprü,-,-,-
brief,kýsa,-,-,-
"bright,""parlak, zeki"",-,-,-"
"brilliant,""parlak, mükemmel"",-,-,-"
bring,getirmek,bring,brought,brought
broad,geniþ,-,-,-
broadcast,yayýnlamak,broadcast,broadcast,broadcast
broken,kýrýk,-,-,-
brother,erkek kardeþ,-,-,-
brown,kahverengi,-,-,-
"brush,""fýrça, fýrçalamak"",brush,brushed,brushed"
bubble,kabarcýk,-,-,-
budget,bütçe,-,-,-
build,inþa etmek,build,built,built
building,bina,-,-,-
bullet,mermi,-,-,-
"bunch,""demet, grup"",-,-,-"
"burn,""yakmak, yanmak"",burn,burned/burnt,burned/burnt"
bury,gömmek,bury,buried,buried
bus,otobüs,-,-,-
bush,çalý,-,-,-
business,iþ,-,-,-
businessman,iþ adamý,-,-,-
busy,meþgul,-,-,-
but,ama,-,-,-
butter,tereyaðý,-,-,-
button,düðme,-,-,-
buy,satýn almak,buy,bought,bought
by,tarafýndan,-,-,-
bye,hoþça kal,-,-,-
cable,kablo,-,-,-
cafe,kafe,-,-,-
cake,pasta,-,-,-
calculate,hesaplamak,calculate,calculated,calculated
"call,""aramak, çaðýrmak"",call,called,called"
calm,sakin,calm,calmed,calmed
camera,kamera,-,-,-
camp,kamp,camp,camped,camped
campaign,kampanya,campaign,campaigned,campaigned
camping,kamp yapma,-,-,-
campus,kampüs,-,-,-
can1,yapabilmek,can,could,-
can2,teneke kutu,-,-,-
cancel,iptal etmek,cancel,cancelled,cancelled
cancer,kanser,-,-,-
candidate,aday,-,-,-
cannot,yapamamak,-,-,-
"cap,""kep, þapka"",-,-,-"
capable,yetenekli,-,-,-
capacity,kapasite,-,-,-
"capital,""baþkent, sermaye"",-,-,-"
captain,kaptan,-,-,-
capture,ele geçirmek,capture,captured,captured
car,araba,-,-,-
card,kart,-,-,-
"care,""önemsemek, bakým"",care,cared,cared"
career,kariyer,-,-,-
careful,dikkatli,-,-,-
carefully,dikkatlice,-,-,-
careless,dikkatsiz,-,-,-
carpet,halý,-,-,-
carrot,havuç,-,-,-
carry,taþýmak,carry,carried,carried
cartoon,çizgi film,-,-,-
"case,""durum, dava"",-,-,-"
cash,nakit,-,-,-
cast,oyuncu kadrosu,cast,cast,cast
castle,kale,-,-,-
cat,kedi,-,-,-
catch,yakalamak,catch,caught,caught
category,kategori,-,-,-
"cause,""neden, neden olmak"",cause,caused,caused"
CD,CD,-,-,-
ceiling,tavan,-,-,-
celebrate,kutlamak,celebrate,celebrated,celebrated
celebration,kutlama,-,-,-
celebrity,ünlü kiþi,-,-,-
cell,hücre,-,-,-
cent,sent,-,-,-
central,merkezi,-,-,-
centre,merkez,centre,centred,centred
century,yüzyýl,-,-,-
ceremony,tören,-,-,-
"certain,""kesin, emin"",-,-,-"
certainly,kesinlikle,-,-,-
chain,zincir,chain,chained,chained
chair,sandalye,chair,chaired,chaired
chairman,baþkan,-,-,-
"challenge,""meydan okuma, zorlamak"",challenge,challenged,challenged"
champion,þampiyon,-,-,-
"chance,""þans, fýrsat"",-,-,-"
"change,""deðiþmek, deðiþtirmek"",change,changed,changed"
channel,kanal,-,-,-
chapter,bölüm,-,-,-
character,karakter,-,-,-
characteristic,özellik,-,-,-
"charge,""ücret, þarj etmek"",charge,charged,charged"
charity,hayýr kurumu,-,-,-
"chart,""grafik, tablo"",chart,charted,charted"
chat,sohbet etmek,chat,chatted,chatted
cheap,ucuz,-,-,-
cheat,hile yapmak,cheat,cheated,cheated
check,kontrol etmek,check,checked,checked
cheerful,neþeli,-,-,-
cheese,peynir,-,-,-
chef,þef,-,-,-
chemical,kimyasal,-,-,-
chemistry,kimya,-,-,-
chest,göðüs,-,-,-
chicken,tavuk,-,-,-
"chief,""þef, baþ"",-,-,-"
child,çocuk,-,-,-
childhood,çocukluk,-,-,-
"chip,""cips, çip"",-,-,-"
chocolate,çikolata,-,-,-
choice,seçim,-,-,-
choose,seçmek,choose,chose,chosen
church,kilise,-,-,-
cigarette,sigara,-,-,-
cinema,sinema,-,-,-
"circle,""daire, çevrelemek"",circle,circled,circled"
"circumstance,""durum, koþul"",-,-,-"
cite,alýntý yapmak,cite,cited,cited
citizen,vatandaþ,-,-,-
city,þehir,-,-,-
civil,sivil,-,-,-
claim,iddia etmek,claim,claimed,claimed
class,sýnýf,-,-,-
classic,klasik,-,-,-
classical,klasik (müzik),-,-,-
classroom,sýnýf (oda),-,-,-
"clause,""cümlecik, madde"",-,-,-"
"clean,""temiz, temizlemek"",clean,cleaned,cleaned"
"clear,""net, temizlemek"",clear,cleared,cleared"
clearly,açýkça,-,-,-
clever,akýllý,-,-,-
click,týklamak,click,clicked,clicked
client,müþteri,-,-,-
climate,iklim,-,-,-
climb,týrmanmak,climb,climbed,climbed
clock,saat,-,-,-
close1,kapatmak,close,closed,closed
close2,yakýn,-,-,-
closed,kapalý,-,-,-
closely,yakýndan,-,-,-
cloth,kumaþ,-,-,-
clothes,giysiler,-,-,-
clothing,giyim,-,-,-
cloud,bulut,-,-,-
club,kulüp,-,-,-
clue,ipucu,-,-,-
"coach,""antrenör, koç"",coach,coached,coached"
coal,kömür,-,-,-
coast,kýyý,-,-,-
coat,palto,-,-,-
code,kod,-,-,-
coffee,kahve,-,-,-
coin,madeni para,-,-,-
cold,soðuk,-,-,-
collapse,çökmek,collapse,collapsed,collapsed
colleague,meslektaþ,-,-,-
collect,toplamak,collect,collected,collected
collection,koleksiyon,-,-,-
"college,""kolej, yüksekokul"",-,-,-"
colour,renk,colour,coloured,coloured
coloured,renkli,-,-,-
column,sütun,-,-,-
combination,kombinasyon,-,-,-
combine,birleþtirmek,combine,combined,combined
come,gelmek,come,came,come
comedy,komedi,-,-,-
"comfort,""rahatlýk, teselli etmek"",comfort,comforted,comforted"
comfortable,rahat,-,-,-
"command,""emir, komuta etmek"",command,commanded,commanded"
comment,yorum,comment,commented,commented
commercial,ticari,-,-,-
commission,komisyon,commission,commissioned,commissioned
"commit,""iþlemek (suç), adamak"",commit,committed,committed"
commitment,baðlýlýk,-,-,-
committee,komite,-,-,-
"common,""ortak, yaygýn"",-,-,-"
commonly,genellikle,-,-,-
communicate,iletiþim kurmak,communicate,communicated,communicated
communication,iletiþim,-,-,-
community,topluluk,-,-,-
company,þirket,-,-,-
compare,karþýlaþtýrmak,compare,compared,compared
comparison,karþýlaþtýrma,-,-,-
compete,yarýþmak,compete,competed,competed
"competition,""yarýþma, rekabet"",-,-,-"
competitive,rekabetçi,-,-,-
competitor,rakip,-,-,-
complain,þikayet etmek,complain,complained,complained
complaint,þikayet,-,-,-
"complete,""tamamlamak, tam"",complete,completed,completed"
completely,tamamen,-,-,-
complex,karmaþýk,-,-,-
complicated,karmaþýk,-,-,-
component,bileþen,-,-,-
computer,bilgisayar,-,-,-
concentrate,odaklanmak,concentrate,concentrated,concentrated
concentration,konsantrasyon,-,-,-
concept,kavram,-,-,-
"concern,""endiþe, ilgilendirmek"",concern,concerned,concerned"
concerned,endiþeli,-,-,-
concert,konser,-,-,-
conclude,sonuçlandýrmak,conclude,concluded,concluded
conclusion,sonuç,-,-,-
"condition,""durum, koþul"",-,-,-"
"conduct,""yürütmek, davranýþ"",conduct,conducted,conducted"
conference,konferans,-,-,-
confidence,özgüven,-,-,-
confident,kendinden emin,-,-,-
confirm,onaylamak,confirm,confirmed,confirmed
conflict,çatýþma,conflict,conflicted,conflicted
confuse,kafasýný karýþtýrmak,confuse,confused,confused
confused,kafasý karýþmýþ,-,-,-
confusing,kafa karýþtýrýcý,-,-,-
connect,baðlamak,connect,connected,connected
connected,baðlý,-,-,-
connection,baðlantý,-,-,-
conscious,bilinçli,-,-,-
consequence,sonuç,-,-,-
conservative,muhafazakar,-,-,-
"consider,""düþünmek, göz önünde bulundurmak"",consider,considered,considered"
consideration,dikkate alma,-,-,-
consist,oluþmak,consist,consisted,consisted
consistent,tutarlý,-,-,-
"constant,""sabit, sürekli"",-,-,-"
constantly,sürekli olarak,-,-,-
construct,inþa etmek,construct,constructed,constructed
construction,inþaat,-,-,-
consume,tüketmek,consume,consumed,consumed
consumer,tüketici,-,-,-
"contact,""temas, iletiþim kurmak"",contact,contacted,contacted"
contain,içermek,contain,contained,contained
"container,""kap, konteyner"",-,-,-"
contemporary,çaðdaþ,-,-,-
content1,içerik,-,-,-
contest,yarýþma,contest,contested,contested
context,baðlam,-,-,-
continent,kýta,-,-,-
continue,devam etmek,continue,continued,continued
continuous,sürekli,-,-,-
contract,sözleþme,contract,contracted,contracted
contrast,karþýtlýk,contrast,contrasted,contrasted
contribute,katkýda bulunmak,contribute,contributed,contributed
contribution,katký,-,-,-
"control,""kontrol, kontrol etmek"",control,controlled,controlled"
"convenient,""uygun, elveriþli"",-,-,-"
conversation,konuþma,-,-,-
convert,dönüþtürmek,convert,converted,converted
convince,ikna etmek,convince,convinced,convinced
convinced,ikna olmuþ,-,-,-
"cook,""piþirmek, aþçý"",cook,cooked,cooked"
cooker,ocak (mutfak),-,-,-
cooking,yemek piþirme,-,-,-
"cool,""serin, harika"",cool,cooled,cooled"
"copy,""kopya, kopyalamak"",copy,copied,copied"
core,çekirdek,-,-,-
corner,köþe,-,-,-
corporate,kurumsal,-,-,-
"correct,""doðru, düzeltmek"",correct,corrected,corrected"
correctly,doðru bir þekilde,-,-,-
"cost,""maliyet, mal olmak"",cost,cost,cost"
costume,kostüm,-,-,-
cottage,kulübe,-,-,-
cotton,pamuk,-,-,-
could,yapabilirdi,-,-,-
council,konsey,-,-,-
count,saymak,count,counted,counted
country,ülke,-,-,-
countryside,kýrsal alan,-,-,-
county,ilçe,-,-,-
"couple,""çift, birkaç"",-,-,-"
courage,cesaret,-,-,-
"course,""ders, rota"",-,-,-"
court,mahkeme,-,-,-
cousin,kuzen,-,-,-
"cover,""kapatmak, örtmek"",cover,covered,covered"
covered,örtülü,-,-,-
cow,inek,-,-,-
"crash,""çarpýþma, çarpýþmak"",crash,crashed,crashed"
crazy,çýlgýn,-,-,-
cream,krema,-,-,-
create,yaratmak,create,created,created
creation,yaratýlýþ,-,-,-
creative,yaratýcý,-,-,-
creature,yaratýk,-,-,-
"credit,""kredi, itibar"",credit,credited,credited"
crew,mürettebat,-,-,-
crime,suç,-,-,-
criminal,suçlu,-,-,-
crisis,kriz,-,-,-
criterion,ölçüt,-,-,-
critic,eleþtirmen,-,-,-
"critical,""eleþtirel, kritik"",-,-,-"
criticism,eleþtiri,-,-,-
criticize,eleþtirmek,criticize,criticized,criticized
"crop,""ekin, ürün"",-,-,-"
"cross,""geçmek, çapraz"",cross,crossed,crossed"
crowd,kalabalýk,-,-,-
crowded,kalabalýk (sýfat),-,-,-
crucial,çok önemli,-,-,-
cruel,zalim,-,-,-
cry,aðlamak,cry,cried,cried
cultural,kültürel,-,-,-
culture,kültür,-,-,-
cup,fincan,-,-,-
cupboard,dolap,-,-,-
"cure,""tedavi, iyileþtirmek"",cure,cured,cured"
curly,kývýrcýk,-,-,-
currency,para birimi,-,-,-
"current,""mevcut, akým"",-,-,-"
currently,þu anda,-,-,-
curtain,perde,-,-,-
curve,eðri,curve,curved,curved
curved,eðri (sýfat),-,-,-
custom,gelenek,-,-,-
customer,müþteri,-,-,-
cut,kesmek,cut,cut,cut
"cycle,""döngü, bisiklete binmek"",cycle,cycled,cycled"
dad,baba,-,-,-
daily,günlük,-,-,-
"damage,""hasar, zarar vermek"",damage,damaged,damaged"
dance,dans etmek,dance,danced,danced
dancer,dansçý,-,-,-
dancing,dans etme,-,-,-
danger,tehlike,-,-,-
dangerous,tehlikeli,-,-,-
dark,karanlýk,-,-,-
data,veri,-,-,-
"date,""tarih, randevu"",date,dated,dated"
daughter,kýz evlat,-,-,-
day,gün,-,-,-
dead,ölü,-,-,-
"deal,""anlaþma, uðraþmak"",deal,dealt,dealt"
dear,sevgili,-,-,-
death,ölüm,-,-,-
"debate,""tartýþma, tartýþmak"",debate,debated,debated"
debt,borç,-,-,-
decade,on yýl,-,-,-
December,Aralýk,-,-,-
"decent,""iyi, düzgün"",-,-,-"
decide,karar vermek,decide,decided,decided
decision,karar,-,-,-
declare,beyan etmek,declare,declared,declared
"decline,""reddetmek, azalmak"",decline,declined,declined"
decorate,dekore etmek,decorate,decorated,decorated
decoration,dekorasyon,-,-,-
decrease,azalmak,decrease,decreased,decreased
deep,derin,-,-,-
deeply,derinden,-,-,-
defeat,yenmek,defeat,defeated,defeated
defence,savunma,-,-,-
defend,savunmak,defend,defended,defended
define,tanýmlamak,define,defined,defined
definite,kesin,-,-,-
definitely,kesinlikle,-,-,-
definition,taným,-,-,-
degree,derece,-,-,-
"delay,""geciktirmek, gecikme"",delay,delayed,delayed"
deliberate,kasýtlý,-,-,-
deliberately,kasýtlý olarak,-,-,-
delicious,lezzetli,-,-,-
"delight,""memnuniyet, sevindirmek"",delight,delighted,delighted"
delighted,çok memnun,-,-,-
deliver,teslim etmek,deliver,delivered,delivered
delivery,teslimat,-,-,-
"demand,""talep, talep etmek"",demand,demanded,demanded"
demonstrate,göstermek,demonstrate,demonstrated,demonstrated
dentist,diþ hekimi,-,-,-
deny,inkar etmek,deny,denied,denied
department,departman,-,-,-
"departure,""hareket, kalkýþ"",-,-,-"
depend,baðlý olmak,depend,depended,depended
depressed,depresif,-,-,-
depressing,karamsar,-,-,-
depth,derinlik,-,-,-
"describe,""tanýmlamak, betimlemek"",describe,described,described"
description,tanýmlama,-,-,-
"desert,""çöl, terk etmek"",desert,deserted,deserted"
deserve,hak etmek,deserve,deserved,deserved
"design,""tasarým, tasarlamak"",design,designed,designed"
designer,tasarýmcý,-,-,-
"desire,""arzu, arzulamak"",desire,desired,desired"
desk,masa,-,-,-
desperate,umutsuz,-,-,-
despite,-e raðmen,-,-,-
destination,varýþ noktasý,-,-,-
destroy,yok etmek,destroy,destroyed,destroyed
detail,detay,detail,detailed,detailed
detailed,detaylý,-,-,-
detect,tespit etmek,detect,detected,detected
detective,dedektif,-,-,-
determine,belirlemek,determine,determined,determined
determined,kararlý,-,-,-
develop,geliþtirmek,develop,developed,developed
development,geliþim,-,-,-
device,cihaz,-,-,-
diagram,diyagram,-,-,-
dialogue,diyalog,-,-,-
diamond,elmas,-,-,-
diary,günlük (defter),-,-,-
dictionary,sözlük,-,-,-
die,ölmek,die,died,died
diet,diyet,-,-,-
difference,fark,-,-,-
different,farklý,-,-,-
differently,farklý bir þekilde,-,-,-
difficult,zor,-,-,-
difficulty,zorluk,-,-,-
dig,kazmak,dig,dug,dug
digital,dijital,-,-,-
dinner,akþam yemeði,-,-,-
"direct,""doðrudan, yönetmek"",direct,directed,directed"
direction,yön,-,-,-
directly,doðrudan,-,-,-
"director,""yönetmen, müdür"",-,-,-"
dirt,kir,-,-,-
dirty,kirli,-,-,-
disadvantage,dezavantaj,-,-,-
disagree,ayný fikirde olmamak,disagree,disagreed,disagreed
disappear,kaybolmak,disappear,disappeared,disappeared
disappointed,hayal kýrýklýðýna uðramýþ,-,-,-
disappointing,hayal kýrýklýðý yaratan,-,-,-
disaster,felaket,-,-,-
disc,disk,-,-,-
discipline,disiplin,-,-,-
discount,indirim,discount,discounted,discounted
discover,keþfetmek,discover,discovered,discovered
discovery,keþif,-,-,-
"discuss,""tartýþmak, görüþmek"",discuss,discussed,discussed"
"discussion,""tartýþma, görüþme"",-,-,-"
disease,hastalýk,-,-,-
"dish,""yemek, tabak"",-,-,-"
dishonest,dürüst olmayan,-,-,-
dislike,hoþlanmamak,dislike,disliked,disliked
dismiss,görevden almak,dismiss,dismissed,dismissed
"display,""sergilemek, ekran"",display,displayed,displayed"
distance,mesafe,-,-,-
distribute,daðýtmak,distribute,distributed,distributed
distribution,daðýtým,-,-,-
"district,""bölge, ilçe"",-,-,-"
divide,bölmek,divide,divided,divided
"division,""bölünme, bölüm"",-,-,-"
divorced,boþanmýþ,-,-,-
do1,yapmak,do,did,done
