Sýra;Fransýzca Kelime;Ýsveççe Anlamý;Türkçe Anlamý
16;objectif;objektiv, saklig;nesnel, tarafsýz
16;un objectif;"ett mål, ett syfte; ett objektiv";
16;objectivement;objektivt;
16;l'objectivité;objektivitet, saklighet;
17;paraître;"visa sig; framträda; verka; tyckas";görünmek, ortaya çýkmak
17;reparaître;visa sig igen;
17;paru;utgiven, utkommen;
18;un journal;en tidning;gazete
18;un, une journaliste;en journalist;
18;le journalisme;journalism;
18;journalistique;journalistisk;
19;annoncer;tillkännage, annonsera;duyurmak, ilan etmek
19;une annonce;"ett tillkännagivande; en annons";
19;un annonceur;en annonsör;
20;envoyer;skicka;göndermek
20;renvoyer;"skicka tillbaka; avskeda";
20;un envoi;"en försändelse; ett avsändande";
20;un renvoi;"ett återsändande; ett avskedande, en relegering";
21;établir;"grundlägga; instifta";kurmak, tesis etmek
21;un établissement;ett grundande, en anläggning;
21;rétablir;återställa;
21;un rétablissement;"ett återställande; ett tillfriskande";
21;établi;etablerad;
22;garder;"vakta; bevara; spara";korumak, saklamak
22;un, une garde;"en vakt; en bevakning";
22;un gardien;en vaktmästare;
22;une garderie;en förskola, ett fritidshem;
23;interdire;förbjuda;yasaklamak
23;une interdiction;ett förbud;
23;interdit;förbjuden;
23;un interdit;"ett förbud; ett tabu";
24;payer;betala;ödemek
24;un paiement;en betalning;
24;payant;avgiftsbelagd;
24;une paie/paye;"en avlöning; en lön";
25;un esprit;"en ande; ett sinnelag; ett förstånd";ruh, zihin
25;spirituel;"andlig; spirituell";
25;une spiritualité;en andlighet;
26;un domaine;"en mark; ett område";alan, saha
27;diriger;"leda; styra; dirigera";yönetmek
27;dirigeant;ledande, styrande;
27;une direction;"en ledning; en riktning";
27;un directeur;"en ledare; en direktör";
27;directeur;ledande, styr-;
27;un dirigeant;en ledare, en direktör;
27;une directive;en förhållningsorder, ett direktiv;
27;directif;ledande, styrande;
27;un directoire;en bolagsstyrelse;
27;unidirectionnel;envägs-;
28;la nature;natur;doða
28;naturel;naturlig;
28;le naturel;naturlighet;
28;naturellement;naturligtvis;
28;surnaturel;övernaturlig;
28;dénaturer;"denaturera; förvanska";
29;un régime;"en styrelse(form), en regim; en diet";"rejim, düzen; diyet"
29;un régiment;ett regemente;
30;charger;"lasta; ladda";yüklemek, þarj etmek
30;une charge;"en last; en laddning";
30;décharger;lasta av;
30;une décharge;"en (sop)tipp; en urladdning; en ansvarsfrihet";
30;une surcharge;"en överbelastning, en extra last; en överladdning";
30;un chargement;"en lastning; en laddning";
30;surcharger;"överlasta; överladda";
31;court;kort;kýsa
31;un court;"en bana; en plan";
32;un parent;"en släktning; en förälder";"akraba; ebeveyn"
32;s'apparenter à;"likna; vara besläktad med";
33;tomber;falla;düþmek
33;retomber;återfalla;
33;les retombées;"effekter, konsekvenser; nedfall";
33;tombé;fallen;
33;une tombée;ett fall;
34;entraîner;"träna; föra med sig";"antrenman yapmak/yaptýrmak; beraberinde getirmek"
34;un entraînement;en träning;
34;un entraîneur;en tränare;
35;disposer;förfoga över;elinde bulundurmak, tasarruf etmek
35;une disposition;"en disposition; en (an)ordning";
35;un dispositif;en anordning: en apparat;
35;une prédisposition;en benägenhet, ett anlag, en predisposition;
36;une parole;"ett yttrande; ett ord";söz, kelime
37;un fond;en botten;dip, taban
37;fonder;"grunda; instifta";
37;les fonds;"kapital; samlingar";
37;fondamental;grundläggande;
37;fondé;grundad, befogad;
37;une fondation;"en grund(läggning); en stiftelse";
37;un fondateur;en grundare;
37;un fondement;"en grund(val); ett underlag";
37;fondamentalement;i grunden, fundamentalt;
37;fondamentaliste;fundamentalistisk;
37;un fondamentaliste;en fundamentalist;
38;faux;falsk, felaktig;yanlýþ, sahte
38;un faux;en osanning, en förfalskning;
38;fausser;"förfalska; förvrida";
39;un genre;"en art; en sort; ett slag";tür, çeþit
39;générique;allmän, generisk;
40;une communauté;"en gemenskap; en kollektiv; ett samfund";topluluk
40;commun;"vanlig; gemensam";
40;le commun;det vanliga;
40;une commune;en kommun;
40;un, une communiste;en kommunist;
40;communiste;kommunistisk;
40;communautaire;"gemensam; samhälls-";
40;le communisme;kommunism;
40;communément;"allmänt; vanligtvis";
40;communal;kommunal;
41;un corps;en kropp;vücut, beden
41;incorporer;inkorporera, införa;
41;corporel;kroppslig;
42;une matière;ett ämne;madde
43;un sein;ett bröst;göðüs, meme
44;parvenir;"uppnå; nå fram till";ulaþmak, varmak
45;un secteur;en sektor;sektör
45;sectoriel;sektor-;
46;un cœur;ett hjärta;kalp
46;écœurer;äckla;
47;un père;en fader;baba
47;paternel;"faderlig; faders-";
47;la paternité;faderskap;
48;une organisation;en organisation;organizasyon, kuruluþ
48;organiser;organisera;
48;un organisme;"en organism; en organisation";
48;un organisateur;en organisatör;
48;une réorganisation;en omorganisation;
48;réorganiser;omorganisera;
49;noir;svart;siyah
49;le noir;"svart; svärta; mörker";
49;noircir;"svartna; svärta (ner)";
50;un événement;"en händelse; ett evenemang";olay
51;double;dubbel;çift, ikili
51;un double;"en dubblett; en kopia";
51;doubler;"dubblera, fördubbla; dubba";
51;doublement;dubbelt;
51;redoubler;"fördubbla(s); gå om en klass";
51;un dédoublement;"en delning; en dubblering";
51;dédoubler;"dela; dubblera";
52;convaincre;övertyga;ikna etmek
52;une conviction;en övertygelse;
52;convaincant;övertygande;
53;un conseil;ett råd;öðüt, tavsiye
53;conseiller;råda;
53;un conseiller;en rådgivare;
53;déconseiller;avråda;
54;soutenir;"stödja; bära upp; underhålla";desteklemek
54;un soutien;ett stöd, ett försvar;
54;insoutenable;ohållbar, outhärdlig;
54;soutenable;"hållbar; uthärdlig";
55;la paix;fred;barýþ
55;paisible;lugn, fredlig;
56;une nuit;en natt;gece
56;le minuit;midnatt;
56;une nuitée;"en gästnatt; en övernattning";
57;manquer;"missa; sakna(s)";kaçýrmak, eksik olmak
57;un manque;"en brist; en saknad";
57;un manquement;en förseelse, ett brott;
57;manquant;"felande; som fattas";
58;actuel;aktuell;güncel, mevcut
58;actuellement;för närvarande;
58;une actualité;en aktualitet;
58;actualiser;aktualisera;
59;opposer;ställa mitt emot;karþý koymak, karþý çýkmak
59;une opposition;"ett motstånd; en kontrast; en opposition";
59;un opposant;en motståndare;
59;opposant;oppositions-;
60;signifier;betyda;anlamýna gelmek
60;significatif;betydande;
60;une signification;en betydelse, en innebörd;
60;insignifiant;obetydlig;
61;traiter;behandla;iþlem yapmak, davranmak
61;un traitement;en behandling;
61;un traité;ett fördrag;
61;maltraiter;behandla illa;
61;une traite;"en handel; ett sträck; en mjölkning";
62;indiquer;indikera;belirtmek, göstermek
62;un indice;"ett (känne)tecken, en ledtråd; ett index";
62;une indication;en indikation;
62;un indicateur;en indikator;
63;tuer;"mörda; döda";öldürmek
63;un tueur;en mördare;
63;une tuerie;en massaker;
64;technique;teknisk;teknik
64;une technique;en teknik;
64;un technicien;en tekniker;
64;techniquement;tekniskt;
65;réduire;"förminska; reducera";azaltmak, indirgemek
65;une réduction;"en minskning; en nedskärning";
65;un réduit;en vrå, ett krypin;
65;irréductible;omöjlig att förenkla;
66;préférer;föredra;tercih etmek
66;une préférence;"en preferens; ett företräde";
66;préférable;önskvärt;
66;préféré;favorit-;
66;préférentiel;förmåns-;
67;une rue;en gata;sokak, cadde
67;une ruelle;en liten gata, en gränd;
68;un, une riche;en rik person;zengin (kiþi)
68;riche;rik;
68;une richesse;en rikedom;
68;enrichir;berika;
68;un enrichissement;en berikning;
68;un richard;en rik knös;
68;enrichi;berikad;
69;bref;"kort; kortfattad";kýsa, özet
69;brièvement;kortfattat;
70;une violence;ett våld;þiddet
70;violent;våldsam;
70;violer;"våldta; bryta mot";
70;un viol;en våldtäkt;
70;violemment;våldsamt;
70;violenter;att göra våld på;
71;un siècle;ett sekel;yüzyýl
72;un article;en artikel;makale
73;durer;"vara; hålla på";sürmek, devam etmek
73;une durée;"en varaktighet; en löptid";
73;durable;uthållig, hållbar;
73;perdurer;förbli;
73;endurer;uthärda;
73;durablement;varaktigt;
74;une qualité;"en egenskap; en kvalitet";nitelik, kalite
74;qualitatif;kvalitativ;
75;la gauche;vänster (sida);sol (taraf)
75;gauche;"vänster; vänster-; klumpig";
76;une solution;en lösning;çözüm
76;résoudre;"lösa; besluta";
76;une résolution;"ett beslut; en (upp)lösning";
76;résolument;beslutsamt;
76;résolu;beslutsam;
77;une voie;"en bana; ett spår; ett körfält";yol, güzergah
78;capable;"förmögen att, kapabel; duktig";yetenekli, kapasiteli
78;une capacité;en förmåga;
78;incapable;oförmögen;
78;une incapacité;en oförmåga;
78;une surcapacité;en överkapacitet;
79;une erreur;"ett misstag; ett fel";hata
79;erroné;felaktig;
79;errer;irra (omkring);
79;errant;(kring)irrande;
80;livrer;leverera;teslim etmek
80;délivrer;"befria; utfärda";
80;une livraison;en leverans;
80;une délivrance;en befrielse;
81;se souvenir de;minnas, komma ihåg;hatýrlamak
81;un souvenir;ett minne, en hågkomst;
82;une conséquence;en konsekvens;sonuç
82;conséquent;konsekvent;
83;large;"bred, vid; stor";geniþ
83;le large;"bredd; öppen sjö";
83;largement;"brett; gott och väl";
83;élargir;"bredda; vidga";
83;un élargissement;"en breddning; en vidgning";
84;contraire;"motsatt-; mot-, motstridig";zýt, karþýt
84;le contraire;motsats;
84;contrairement;tvärtemot;
84;contrer;"förbereda; parera";
84;contrarier;"förarga; motarbeta";
85;un succès;en framgång, en succé;baþarý
86;un élément;"en beståndsdel; ett grundämne";unsur, öðe
86;élémentaire;"elementär; grundläggande";
87;local;lokal;yerel
87;un local;en lokal;
88;un loyer;en hyra;kira
88;une location;"en uthyrning; en hyra";
88;une localité;"en plats; en ort; en lokalitet";
88;un locataire;en hyresgäst;
88;une localisation;en lokalisering;
88;localiser;lokalisera;
88;localement;lokalt;
88;une délocalisation;en delokalisering;
88;délocaliser;delokalisera;
89;inviter;bjuda in;davet etmek
89;une invitation;en inbjudan;
89;un invité;en gäst, en inbjuden (person);
90;extérieur;yttre, utomhus-, utvändig;dýþ, dýþarýdaki
90;un extérieur;en utsida, ett yttre, en exteriör;
91;un pied;en fot;ayak
91;piétiner;"stampa; stå och trampa";
91;un piéton;en fotgängare;
92;une mission;ett uppdrag;görev, misyon
92;une démission;en avgång, ett avsked, en avskedsansökan;
92;démissionner;avgå, begära avsked;
92;missionnaire;missions-;
92;un, une missionnaire;en missionär;
93;un débat;en debatt, en diskussion;tartýþma, münazara
93;débattre;debattera, diskutera;
94;une fille;"en flicka; en dotter";"kýz; kýz çocuk"
94;une fillette;en liten flicka;
95;répéter;"upprepa; repetera";tekrarlamak
95;une répétition;"en upprepning; en repetition";
95;un répéteur;en förstärkare;
96;un texte;en text;metin
96;un contexte;ett sammanhang, en kontext;
97;profiter;"gynna; dra fördel av, utnyttja";yararlanmak, kâr etmek
97;un profit;"en fördel; en nytta; en vinst";
97;profitable;fördelaktig, givande;
98;une chambre;ett (sov)rum;oda, yatak odasý
99;prouver;bevisa;kanýtlamak, ispatlamak
99;une preuve;ett bevis, ett prov;
99;une épreuve;ett prov, ett test;
99;éprouver;"pröva (på); erfara";
100;acheter;köpa;satýn almak
100;un achat;ett köp;
100;un acheteur;en köpare;
100;racheter;köpa tillbaka;
101;ignorer;"inte känna till; nonchalera";"görmezden gelmek; bilmemek"
101;une ignorance;"en okunskap; en ignorans";
101;ignorant;okunnig, obildad;
101;un ignorant;en okunnig, en obildad (person);
101;ignoré;obemärkt, okänd;
102;la santé;hälsa;saðlýk
102;sain;sund, hälsosam;
102;sanitaire;"sanitär, hygien-; hälsovårds-";
102;les sanitaires;toalett;
102;un assainissement;"ett renande; en sanering";
102;assainir;"rena; sanera";
102;malsain;"osund; ohälsosam";
103;souffrir;lida;acý çekmek
103;une souffrance;ett lidande;
103;souffrant;"lidande; sjuk";
104;précis;"bestämd; precis";kesin, belirli
104;un précis;"en översikt; en handbok";
104;préciser;"klargöra; precisera";
104;précisément;"precis, exakt; egentligen";
104;une précision;"en tydlighet; en precision";
105;fixer;"spänna fast; bestämma";"sabitlemek; belirlemek"
105;fixe;fast(installerad);
105;une fixation;"ett fästande; en fästanordning; en fixering";
105;fixé;"fäst; bestämd";
105;fixement;"ihållande; stadigt";
106;une mère;en moder, en mor;anne
106;mère;moder-, huvud-;
106;maternel;moderlig;
106;une maternité;"ett moderskap; en graviditet; en förlossningsavdelning";
107;une croissance;en tillväxt, en växt;büyüme
107;accroître;öka (på);
107;croissant;växande, tilltagande;
107;un croissant;"en (mån)skära; en croissant";
107;croître;"växa till; öka";
107;un accroissement;en (ut)ökning, en höjning;
107;un surcroît;"ett tillägg; en ökning";
107;décroître;"avta; sjunka; minska";
107;une décroissance;"ett avtagande; en minskning; en nedgång";
108;une arme;ett vapen;silah
108;une armée;en armé;
108;armé;beväpnad;
108;armer;beväpna;
108;un armement;en beväpning;
108;un désarmement;"en avväpning; en avrustning";
108;désarmer;"avväpna; avrusta";
108;un armateur;en (skepps)redare;
109;estimer;"beräkna; uppskatta";tahmin etmek, deðerlendirmek
109;une estimation;"en uppskattning; en värdering";
109;une estime;en (hög)aktning;
110;un endroit;"en plats; ett ställe; en framsida";yer, mekân
111;un comité;en kommitté, en nämnd;komite
112;véritable;"sannskyldig; verklig";gerçek, hakiki
112;une vérité;en sanning;
112;véritablement;"verkligen; i sanning";
113;amener;"ta med (sig); följa; köra";getirmek, beraberinde getirmek
113;ramener;"föra tillbaka; följa hem; köra hem";
114;viser;sikta (på);hedeflemek, niþan almak
114;une visée;"ett sikte; ett mål";
115;un visa;ett visum;vize
116;total;"fullständig; total";toplam, tam
116;le total;(slut)summa;
116;totalement;totalt;
116;une totalité;en helhet;
116;totaliser;"räkna ihop; uppgå till";
116;totalitaire;totalitär;
117;une date;ett datum;tarih
117;dater;"datera; vara förlegad";
118;un travers;en (dålig) sida;kusur, eksik yön
118;traverser;gå (köra, åka, cykla…) över, genom;
118;une traversée;"en överresa; en genomresa";
118;traversier;"tvär-;genom-;sido-";
119;un contrôle;en kontroll;kontrol
119;contrôler;"kontrollera; behärska";
119;un contrôleur;en kontrollant;
119;incontrôlable;okontrollerbar;
120;énorme;enorm;muazzam, kocaman
120;énormément;enormt;
121;conserver;"bevara; konservera";korumak, muhafaza etmek
121;conservateur;konservativ;
121;un conservateur;"en konservativ person; ett konserveringsmedel";
121;une conservation;"ett bevarande; en konservering";
121;conservatoire;"bevarande; säkerhets-";
121;un conservatoire;ett konservatorium;
121;une conserve;en konserv;
122;une campagne;"en landsbygd; landet; en kampanj";"kýrsal bölge; kampanya"
123;naître;födas;doðmak
123;une naissance;en födelse;
123;natal;födelse-, hem-;
123;naissant;"begynnande; gryende";
124;tourner;"vrida om; vända; svänga; spela in";döndürmek, çevirmek
124;détourner;"vända bort; ändra riktning på; kapa (om flygplan)";
124;tournant;"svängande; vänd-; snurr-";
124;un tournant;en vändpunkt;
124;une tournée;"en runda; en turné";
124;contourner;"gå (komma) runt; kringgå";
124;un détournement;"ett bortledande; en förskingring";
124;incontournable;"oundviklig; oumbärlig";
124;une tournure;en (ord)vändning;
124;tourné;"vriden; sur (om mat och dryck)";
125;participer;delta;katýlmak
125;une participation;ett deltagande;
125;participant;deltagande;
125;un participant;en deltagare;
126;vieux;gammal;yaþlý
126;un vieux;en gammal person;
126;vieillir;åldras;
126;un vieillard;en gamling;
126;une vieillesse;en ålderdom;
127;rapidement;snabbt;hýzlýca
127;rapide;snabb;
127;une rapidité;une snabbhet;
128;respecter;respektera;saygý göstermek
128;un respect;en respekt;
128;respectif;respektive;
128;respectivement;respektive;
128;respectueux;respektfull;
128;respectable;respektabel;
128;respectueusement;vördnadsfullt;
129;un passage;en genomfart, en passage;geçiþ, geçit
129;un passager;en passagerare;
129;passager;"flyktig, övergående; hårt trafikerad";
130;essentiel;"väsentlig; essentiell";temel, esas
130;essentiellement;huvudsakligen;
130;l'essence;"bensin; beskaffenhet; essens";
131;adopter;"adoptera; anta";benimsemek, kabul etmek
131;une adoption;"en adoption; ett godkännande";
132;subir;"undergå; genomgå";maruz kalmak, geçirmek
133;environ;"ungefär; omkring";yaklaþýk, civarýnda
133;les environs;omgivningar;
134;une expérience;"en erfarenhet; ett experiment";"deneyim; deney"
134;expérimental;experimentell;
134;expérimenter;"pröva; experimentera";
134;une expérimentation;ett experimenterande, ett försök;
134;expérimenté;erfaren, rutinerad;
135;admettre;"tillstå; ge tillträde till";kabul etmek, itiraf etmek
135;inadmissible;oacceptabelt, oförsvarligt;
135;une admission;"ett tillträde; en antagning";
135;une admissibilité;en antagningsbarhet;
136;découvrir;"upptäcka; avtäcka";keþfetmek
136;couvrir;täcka;
136;une couverture;"ett täcke; ett omslag; en täckning; ett skydd";
136;une découverte;en upptäckt;
136;recouvrir;täcka (över);
136;un couvert;"ett [bords]kuvert; ett bestick; ett skydd";
136;couvert;"täckt; skyddad";
136;un couvercle;ett lock;
136;redécouvrir;återupptäcka;
137;assister;"bistå; närvara";"yardým etmek; katýlmak, hazýr bulunmak"
137;une assistance;en assistans;
137;un assistant;en assistent;
138;un sénateur;senator;senatör
138;un sénat;en senat;
139;dépasser;gå (köra, cykla, etc) om;geçmek, sollamak
139;un dépassement;"en omkörning; ett överskridande";
140;affirmer;"bekräfta; påstå";onaylamak, doðrulamak
140;une affirmation;"en bekräftelse; ett påstående";
140;réaffirmer;åter bekräfta;
140;l'affirmative;jakande svar;
141;soumettre;"lägga under sig; underkuva; lämna (skicka) in";sunmak, tabi kýlmak
141;une soumission;"en underkastelse; en inlämning";
142;financier;"ekonomi-; finans-";finansal, mali
142;un financement;en finansiering;
142;la finance;"ekonomisk ställning; finansvärlden";
142;financer;finansiera;
142;financièrement;"finansiellt; ekonomiskt";
143;un processus;en process;süreç
143;une procédure;"ett förfarande; en procedur";
143;procéder;gå tillväga;
143;un procès;"en process; en rättegång";
143;un procédé;ett tillvägagångssätt, en procedur;
144;militaire;militär-;askeri
144;un militaire;en militär;
144;militant;stridande, kämpande;
144;un militant;en kämpe, en militant;
144;une milice;en milis;
144;militer;"vara aktiv i; kämpa för";
144;militairement;"militäriskt; med vapenmakt";
144;le militantisme;stridbarhet;
145;frais;frisk, färsk, ny, fräsch;taze, serin
145;un frais;en frisk luft, en svalka;
145;rafraîchir;göra friskare (svalare), pigga upp;
145;une fraîcheur;en friskhet, en svalka;
146;une industrie;en industri;sanayi, endüstri
146;industriel;industri-;
146;un industriel;en industriidkare;
146;industrialiser;industrialisera;
146;une industrialisation;en industrialisering;
147;apparaître;uppträda, dyka upp, synas;görünmek, ortaya çýkmak
147;apparemment;uppenbarligen;
147;une apparition;"ett uppträdande; ett uppdykande";
147;une apparence;ett utseende;
147;apparent;uppenbar;
148;réserver;lägga undan, reservera, boka;ayýrmak, rezerve etmek
148;une réserve;"en reserv; ett förbehåll";
148;un réservoir;en reservoar;
148;une réservation;en reservation;
149;une porte;en dörr;kapý
149;un portail;en portal, en port;
149;un portier;en (hotell-)portier, en dörrvakt;
150;une victime;ett offer;kurban
151;pauvre;"fattig; stackars";fakir, yoksul
151;un pauvre;en fattig (person);
151;une pauvreté;en fattigdom;
151;appauvrir;göra fattig, utarma;
152;un taux;"en sats; en (procent)andel";oran
153;posséder;äga;sahip olmak
153;une possession;"en besittning; ett ägande";
154;un matériel;"en utrustning; materiel";malzeme, ekipman
154;matériel;materiell, kroppslig;
154;un matériau;"ett stoff; ett material";
154;le matérialisme;materialism;
154;matérialiser;förkroppsliga, materialisera;
154;matérialiste;materialistisk;
154;un, une matérialiste;en materialist;
155;constater;konstatera;tespit etmek, saptamak
155;un constat;en rapport, ett protokoll;
155;une constatation;ett fastställande, ett konstaterande;
156;prononcer;uttala;telaffuz etmek
157;un signe;ett tecken;iþaret
157;signer;underteckna;
157;une signature;en underskrift;
157;un, une signataire;en undertecknande;
157;signé;undertecknad, signerad;
158;blanc;vit, blek;beyaz
158;un blanc;en vithet, en vit människa;
158;une blancheur;en vithet, en vit färg;
158;blanchir;göra vit, bleka;
158;un blanchiment;en vitmålning, en blekning;
159;une origine;ett ursprung;köken, kaynak
159;original;"original-; ursprunglig";
159;un original;ett original, en kuf;
159;originaire;som härstammar från;
159;originel;ursprunglig;
159;une originalité;en originalitet, en egenart;
160;vendre;sälja;satmak
160;une vente;en försäljning;
160;un vendeur;en säljare;
160;vendu;såld;
160;revendre;återförsälja, sälja igen;
161;vite;"snabbt, fort; snart";hýzlý, çabuk
161;une vitesse;en hastighet;
162;une langue;ett språk;dil
162;un langage;ett språk;
162;la linguistique;"lingvistik; språkvetenskap";
162;linguistique;språklig, språkvetenskaplig;
163;dangereux;farlig;tehlikeli
163;un danger;en fara;
163;dangereusement;farligt;
164;suffire;räcka;yetmek, kâfi gelmek
164;suffisant;tillräcklig;
164;suffisamment;tillräckligt;
164;insuffisant;otillräcklig;
164;une insuffisance;en otillräcklighet;
164;insuffisamment;otillräckligt;
165;saisir;"gripa; fatta";kavramak, yakalamak
165;une saisie;en utmätning, ett beslag;
165;ressaisir;ta tillbaka;
165;saisi;utmätt;
165;saisissant;bitande, gripande;
165;insaisissable;svårfångad, svårgripbar;
166;une énergie;en energi;enerji
166;énergétique;energisk;
166;énergique;energisk;
166;énergiquement;energiskt;
167;faible;svag;zayýf
167;une faiblesse;en svaghet;
167;affaiblir;försvaga;
167;un affaiblissement;en försvagning;
167;faiblement;svagt;
167;faiblir;försvagas;
168;un emploi;en anställning;iþ, istihdam
168;employer;"använda; anställa";
168;un employé;en anställd;
168;un employeur;en arbetsgivare;
169;spécial;speciell;özel
169;spécialiste;specialist-;
169;un spécialiste;en specialist;
169;spécialiser;specialisera;
169;spécialement;särskilt;
169;une spécialité;en specialitet;
169;une spécialisation;en specialisering;
170;accompagner;"ledsaga; följa";eþlik etmek
170;raccompagner;följa (ledsaga) hem (tillbaka);
170;un accompagnement;ett ackompanjemang;
171;une union;en förening;birlik, birleþme
171;réunir;förena;
171;une réunion;ett sammanträde;
171;une réunification;en återförening;
172;supposer;anta;varsaymak
172;une supposition;ett antagande;
172;présupposer;förutsätta;
173;fournir;leverera;saðlamak, tedarik etmek
173;un fournisseur;en leverantör;
173;les fournitures;förbrukningsvaror;
173;fourni;"(väl) försedd; (väl) fylld";
174;exiger;kräva;talep etmek, gerektirmek
174;une exigence;ett krav;
174;exigeant;krävande;
175;intervenir;ingripa;müdahale etmek
175;une intervention;ett ingripande;
175;un intervenant;en föredragshållare;
175;intervenant;intervenerande, ingripande;
176;un fils;en son;oðul
176;un fiston;en son, en grabb;
177;discuter;diskutera;tartýþmak
177;une discussion;en diskussion;
177;indiscutable;odiskutabel;
177;discutable;diskutabel;
178;protéger;skydda;korumak
178;une protection;ett skydd;
178;protégé;skyddad;
178;un protégé;en skyddsling;
178;protecteur;beskyddande;
178;un protecteur;en beskyddare;
178;un protectorat;ett protektorat;
178;un, une protectionniste;en protektionist;
178;protectionniste;protektionistisk;
178;le protectionnisme;protektionism;
179;abandonner;"överge; avskaffa";terk etmek, vazgeçmek
179;un abandon;"ett övergivande; ett avskaffande";
180;un avis;en åsikt;görüþ, fikir
180;aviser;underrätta, avisera;
180;un préavis;en avisering;
180;avisé;klok, genomtänkt, rådig;
181;battre;slå;vurmak, dövüþmek
181;abattre;"slå ned; slakta; göra missmodig";
181;une batterie;"ett batteri; trummor";
181;un battant;en kämpe, en fighter;
181;un battement;ett slag, en klappning;
182;adresser;"adressera; rikta";hitap etmek, adreslemek
182;une adresse;"en adress; en skicklighet";
182;une maladresse;en klumpighet, ett misstag;
183;attirer;"dra till sig; attrahera";çekmek, cezbetmek
183;une attirance;en lockelse, en dragningskraft;
184;demeurer;förbli;kalmak, oturmak
184;une demeure;ett hem;
184;demeurant;boende;
185;un chiffre;en siffra;rakam, sayý
185;chiffrer;beräkna;
185;déchiffrer;"tolka; tyda";
186;consacrer;ägna;adamak, ayýrmak
186;une consécration;en invigning, ett helgande;
187;remplir;fylla;doldurmak
187;emplir;fylla;
187;un remplissage;en fyllning;
188;divers;"olika; skiftande; flera";çeþitli, farklý
188;une diversité;en variation;
188;diversifier;variera;
188;une diversification;en variation, en diversifiering;
189;appliquer;"applicera, stryka på; tillämpa";uygulamak
189;une application;"en påstrykning; en app; en tillämpning; en flit";
189;applicable;applicerbar;
189;appliqué;noggrann, ambitiös;
190;frapper;"slå; knacka";vurmak, çalmak (kapý)
190;une frappe;ett slag;
190;frappant;slående;
190;frappé;slagen;
191;une peur;en rädsla;korku
192;un parlement;ett parlament;parlamento
192;parlementaire;parlamentarisk;
192;un, une parlementaire;en parlamentsledamot;
192;interparlementaire;interparlamentarisk;
193;fermer;stänga;kapatmak
193;ferme;stadig, fast;
193;enfermer;stänga in;
193;une fermeture;"en stängning; en låsanordning";
193;fermement;starkt;
193;fermé;stängd;
193;refermer;"stänga igen; sluta igen";
193;une fermeté;en bestämdhet;
193;renfermer;innehålla;
194;une lutte;en kamp;mücadele, kavga
194;lutter;kämpa;
195;un air;"en luft; ett utseende; en melodi";"hava; görünüþ; melodi"
195;aérien;luft-;
196;un auteur;en författare;yazar
197;une opération;en operation;operasyon
197;opérer;"utföra; operera";
197;un opérateur;en operatör;
197;opérationnel;i drift;
197;opératoire;operations-, operativ;
198;heureux;lycklig, glad;mutlu
198;malheureusement;tyvärr, olyckligtvis;
198;malheureux;olycklig;
198;heureusement;lyckligtvis;
198;un malheur;en olycka;
199;une crise;en kris;kriz
200;un numéro;ett nummer;numara
200;numérique;digital;
